segment,row,column,bin_y,bin_x,selection_sha256,map_x,map_y,map_z,normal_x,normal_y,normal_z,presence_m12,presence_m8,presence_m4,presence_p0,presence_p4,presence_p8,presence_p12,complete_profile,orientation_valid,delta,fiber_nx_raw,fiber_ny_raw,fiber_dx,fiber_dy,fiber_dz,tangent_angle_degrees,matched_baseline_tangent_angle_degrees
20250108000000-w025_2025010863,65,14,0,0,8172c17613819c9062503a8867cdde65aa883d41e1160f6f5e5d10cc889948cb,17119.140625,11000.064453125,4451.2900390625,-0.7846999155562504,0.36208763761943658,-0.50312879584574488,0.68382632635380725,0.4160003361224654,0.15276357379119943,0.0062573906068470984,0.035574018781476854,0.03402271947501765,0,1,1,-0.21410710514714731,29.878614078159444,116.88434193585999,-0.77260933796724851,-0.087524866646771712,0.62881969482855327,14.963135854104687,43.249073597679121
20250108000000-w025_2025010863,70,41,0,1,b1dc9b5aedd07fe09bada6649b4f4086b602f7046015d35764c776ba9734760a,17476.7265625,11388.4296875,4405.32177734375,-0.45731782990728709,0.73747657329405669,-0.49697958337475551,0.054043543533493957,0.11816862134523645,0.10834826912475982,0.035327637896818274,0.39323662829559558,0.61464920104323484,0.00016904126140507861,1,1,-0.17944157953713602,64.33387027104618,99.966139814059716,-0.50130810810199855,-0.22073905658220697,0.83663878086686383,20.446043205184374,0.50435190304574284
20250108000000-w025_2025010863,76,115,0,2,ba400f42a684a749ae05d6b624fbe04dcb658cb85f105f365b4ce3cffe34ff81,17393.609375,12592.642578125,4708.83837890625,-0.30290913581774315,-0.56799563102079054,0.76526271213188091,0.069052966245713526,0.32675863307174841,0.20660725517729955,0.0056915974743235124,0.028240088418239842,0.30239241752949059,0.73144284733952214,1,1,-0.27172410382267886,5.6607386680843774,160.39210645723506,-0.96330127033004431,0.25505595635618156,0.083648799798660869,12.177174337361562,52.52877197815269
20250108000000-w025_2025010863,79,132,0,3,7215ddfdd1801e74d760deba0d1e809346cfa2f05d29c05f57ca393108a0c9d6,17279.265625,12901.1728515625,4792.6962890625,-0.27648722462390435,-0.25196361443374049,0.92739913285556608,0.60855507935472242,0.29010303891559025,0.034492714522679435,0.29469055420703111,0.5788564222772683,0.043586268146477918,0,1,1,0.035424967004241414,239.55382084634039,184.66887583050993,0.87837654209716842,0.44621162071267662,0.17131794953940957,11.32703745445618,5.2654116990939679
20250108000000-w025_2025010863,71,205,0,4,da1c7e54c780ce43d2cd20b97d8f170882a58c1d7cf5f831b9c7089ba72684e6,16559.904296875,14161.1533203125,4711.1142578125,-0.54946156087684317,-0.23710541467340626,0.8011697794171565,0.55428702484657855,0.53550747962148737,0.44366592763130613,0.81809056396720248,0.39840715909617874,0.32776930928728959,0.49980761777536542,1,1,0.35818314425750158,218.28897535422948,173.12383944908288,0.71093681381283058,0.35530582243372344,0.60689918381091612,0.65042989846051524,43.739241698964278
20250108000000-w025_2025010863,31,226,0,5,82bec117f2ccdba4d522f7a96b45bd9c9bd86cac011321ed9bbe0a885e363369,15938.025390625,14299.740234375,4085.78173828125,-0.8798370252720471,-0.38691552697249126,0.27601301409178924,0.43486443896546439,0.076505473925838813,0.2870906297700288,0.86732560771284339,0.25720863668310517,0.62846774448673026,0.11683614855064332,1,1,0.56716342898254157,152.8499843031168,143.30371059290337,0.19566916774107718,0.12050165821183759,0.97323837119367207,2.8571216044366503,61.209374767193786
20250108000000-w025_2025010863,24,261,0,6,34119b0d737daa77bf3ed857fda6b51d3c6bba0f8e0682f20062651a3a700fe8,15692.7265625,14918.5224609375,3856.3056640625,-0.94635241682853688,-0.29788787515680532,0.12521947531175301,0.35140961560717759,0.33350160420168395,0.20778961115972927,0.78690820946232598,0.33365780468351935,0.53328078725557404,0.21174848670821864,1,1,0.45834355785967545,150.83991402937681,146.12304340302944,0.17984184275099854,0.14270112915771213,0.97328993590452739,5.2112341027531999,19.226125908435652
20250108000000-w025_2025010863,41,298,0,7,2724ee96e8a8c7034bb0caa8c81e2a07e4fd626de30b15bb82c69f6c6662d969,15522.16015625,15660.55859375,4090.72265625,-0.67970990401747822,-0.58066435243765735,0.44813319023333509,0.082431839220880349,0.19120666901574929,0.43122670119250578,0.11820027815707612,0.32638732436053997,0.043550546408560251,0.085929539995173984,1,1,-0.07525515854182549,170.84585884807166,158.47090835182462,0.33736896730765087,0.23992841221909147,0.91028376724392646,2.2521587588472576,25.053114737213605
20250108000000-w025_2025010863,86,331,0,8,283a877b09cf42c46dc169c1f1fdf4ea92e026679753786a9032cacbd5935485,15128.0322265625,16096.6728515625,4996.20947265625,-0.66352161628822426,-0.72373572527100882,-0.18959341941298824,0.15139852136861875,0.093586624635715793,0.54326473852561163,0.56770379886789557,0.036562280234967284,0.04187733702499339,0.0076957574687996902,1,1,0.42197292232477779,27.752366917618019,205.19018190808674,-0.78935144159355886,0.60779670793769092,0.08664562005246268,3.8669689439593071,22.270498501432286
20250108000000-w025_2025010863,87,377,0,9,a2a0d15d904120e83a67c76d9dc111d66169322b43f813617d0f998a1eebc2b3,14418.87890625,16666.5546875,5061.72021484375,-0.58270352522511271,-0.80983234985203589,-0.068030631507845232,0.014489131416759501,0.024811425919515104,0,0.8203039001416661,0.39006204623464241,0.0055986957153072855,0,1,1,0.7478103502606287,141.43146558915032,127.20119675993919,0.10575957156811278,-0.0062897892918173728,0.99437183768065052,7.1334357283624712,9.8505608612176268
20250108000000-w025_2025010863,87,420,0,10,43055e560cba908550888ec1a9426c9f5cc696616c3d97b83b70410f209ac12c,13688.3134765625,17110.28515625,5094.828125,-0.4483949057667187,-0.8841570994349931,-0.1311801509419592,0.31336636003678797,0.0058894012823788016,0.016553456391578111,0.018485642414467006,0.69686659374551285,0.306267251885944,0.0076495832017537055,1,1,-0.2059464653428589,216.58177092170808,131.44041535549331,0.69749425922604791,0.027089884688923736,0.71607813574654522,25.50817186052841,31.714032495487523
